PolicyNo,PolicyHolderID,PolicyHolderName,InsuredID,InsuredName,InsuredDOB,PXIllness,Status,EffectiveDate,ExpiryDate,PremiumAmount,RiderPremiumAmount,OutstandingPremium,RiderOutstandingPremium,ProductCode,EntryDate,CommencementDate,ReinstatementDate,RiderEntryDate,RiderCommencementDate,RiderReinstatementDate,AllowAutoClaim,PolicyYearLimit,PolicyYearBalance,LifetimeLimit,LifetimeBalance,Rider,RiderPrdtCode
20251390,S5670610M,Markus Blevins,S5670610M,Markus Blevins,8/14/1954,Chronic renal disease,1,9/1/2019,8/31/2020,3414.95,1087.85,0,0,PEB,6/1/2008,9/1/2008,,6/1/2008,9/1/2008,,Y,1000000,1000000,100000,100000,Y,PEBD
20251407,S4482203M,Mathew Wall,S4482203M,Mathew Wall,12/29/1953,,1,9/1/2019,8/31/2020,74.77,65.42,0,0,PAA,6/1/2008,9/1/2008,,6/1/2008,9/1/2008,,Y,1000000,1000000,100000,100000,Y,PAAD
20251576,S1843343M,Miley Phelps,S1843343M,Miley Phelps,2/6/1956,,1,12/1/2019,11/30/2020,128.97,100.93,0,0,PEA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEAD
20251675,S6628635A,Aaron Fleming,S6628635A,Aaron Fleming,6/29/1968,,1,12/1/2019,11/30/2020,88.79,93.46,0,0,PEA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEAD
20251684,S9737446N,Nathalia Mann,S9737446N,Nathalia Mann,3/13/1960,,1,12/1/2019,11/30/2020,186.92,123.36,0,0,PEB,6/1/2008,6/1/2009,,6/1/2008,6/1/2009,,Y,0,0,0,0,Y,PEBD
20251689,S5442145S,Savanna Warner,S5442145S,Savanna Warner,6/14/2009,,1,12/1/2019,11/30/2020,863.55,0,0,0,IFEB,6/1/2008,6/1/2008,,,,,Y,1000000,1000000,100000,100000,N,
20251879,S0114500T,Taliyah Bauer,S0114500T,Taliyah Bauer,10/20/1960,,1,12/1/2019,11/30/2020,89.72,71.96,0,0,PEB,6/1/2008,6/1/2009,,6/1/2008,6/1/2009,,Y,1000000,1000000,100000,100000,Y,PEBD
20252283,S5120007J,Julian Luna,S5120007J,Julian Luna,7/23/1953,,1,12/1/2019,11/30/2020,88.79,81.31,0,0,PEA,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEAR
20252505,S6473667B,Baron Hardy,S6473667B,Baron Hardy,5/3/1999,,1,12/1/2019,11/30/2020,528.04,284.11,0,0,PEB,6/1/2008,6/1/2009,,6/1/2008,6/1/2009,,Y,0,0,0,0,Y,PEBR
20252527,S8648023R,Raquel Hines,S8648023R,Raquel Hines,2/3/1994,,1,12/1/2019,11/30/2020,88.79,93.46,0,0,PEA,6/1/2008,6/1/2009,,6/1/2008,6/1/2009,,Y,0,0,0,0,Y,PEAD
20252630,S0890448Y,Yahir Mason,S0890448Y,Yahir Mason,6/26/1958,,1,12/1/2019,11/30/2020,194.39,112.15,0,0,PEP,6/1/2008,6/1/2009,,6/1/2008,6/1/2009,,Y,350000,350000,,,Y,PEPD
20252694,S3771672Z,Zoie Whitaker,S3771672Z,Zoie Whitaker,1/15/1988,,1,12/1/2019,11/30/2020,171.03,123.36,0,0,PEB,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,1000000,1000000,100000,100000,Y,PEBD
20252879,S4966659A,Albert Melton,S4966659A,Albert Melton,10/24/1986,,1,7/1/2019,6/30/2020,128.97,100.93,0,0,PEA,7/1/2008,7/1/2009,,7/1/2008,7/1/2009,,Y,250000,250000,,,Y,PEAD
20253210,S8741083T,Talan Rowland,S8741083T,Talan Rowland,12/20/1955,,1,7/1/2019,6/30/2020,166.36,0,0,0,PPP,5/1/2006,7/1/2008,,,,,Y,1000000,1000000,100000,100000,N,
20253296,S8374094K,Kenzie Li,S8374094K,Kenzie Li,4/22/1997,,1,7/1/2019,6/30/2020,2563.55,0,0,0,PPP,7/1/2008,7/1/2008,,,,,Y,1000000,1000000,100000,100000,N,
20253497,S0383889H,Haiden Vasquez,S0383889H,Haiden Vasquez,9/22/1976,,1,3/1/2020,2/28/2021,365.42,194.39,0,0,PEP,3/1/2008,3/1/2008,,3/1/2008,3/1/2008,,Y,1000000,1000000,100000,100000,Y,PEPD
20253655,S5742111J,Jacob Houston,S5742111J,Jacob Houston,8/27/2005,,1,7/1/2019,6/30/2020,115.89,0,0,0,IFEB,7/1/2008,7/1/2008,,,,,Y,150000,150000,10000000,10000000,N,
20254225,S4443231M,Marcus Gregory,S4443231M,Marcus Gregory,3/11/1956,,1,2/1/2020,1/31/2021,28.04,47.66,0,0,PEB,2/1/2007,2/1/2007,,2/1/2007,2/1/2007,,Y,150000,150000,10000000,10000000,Y,PEBR
20254259,S7332331C,Cody Barber,S7332331C,Cody Barber,11/13/2005,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254348,S2700662K,Keely Hansen,S4728743A,Alessandra Rubio,11/23/1954,,1,7/1/2019,6/30/2020,62.62,65.42,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254358,S9669050H,Howard Short,S9460673A,Addison Maldonado,9/28/1998,,1,12/1/2019,11/30/2020,81.31,53.27,0,0,PEB,6/1/2008,6/1/2008,,6/1/2008,6/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBR
20254368,S0859658J,Jakobe Mitchell,S0859658J,Jakobe Mitchell,2/14/1987,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254596,S4328515H,Hallie Soto,S4328515H,Hallie Soto,5/15/1989,,1,7/1/2019,6/30/2020,313.08,209.35,0,0,PEB,7/1/2007,7/1/2008,,7/1/2007,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBR
20254598,S6539487R,Ryder Pruitt,S6539487R,Ryder Pruitt,7/2/1971,,1,7/1/2019,6/30/2020,458.88,318.69,0,0,PEA,7/1/2007,7/1/2008,,7/1/2007,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAR
20254606,S4876964E,Esperanza Porter,S4876964E,Esperanza Porter,5/2/2003,,1,7/1/2019,6/30/2020,1095.33,560.75,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAR
20254608,S8658332T,Tyrell Garner,S8658332T,Tyrell Garner,4/5/1960,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254609,S1826686A,Alice Ellison,S1826686A,Alice Ellison,3/18/1969,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254612,S3973617M,Milo Sparks,S3973617M,Milo Sparks,4/19/1951,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254613,S7886823G,Gisselle Pena,S7886823G,Gisselle Pena,10/20/1962,,1,7/1/2019,6/30/2020,1095.33,381.31,747.67,381.31,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254616,S5902417G,Guadalupe Cordova,S5902417G,Guadalupe Cordova,2/2/2010,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254618,S9297888Z,Zoe Mays,S9297888Z,Zoe Mays,3/9/1956,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254620,S9735147J,Joey Bowman,S9060192E,Evan Shepard,7/15/1992,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254623,S9210062L,Liam Jones,S9210062L,Liam Jones,3/19/1952,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254628,S8420545N,Nicole English,S6256581L,Lola Sampson,5/14/1961,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254631,S7063181A,Amy Berry,S7063181A,Amy Berry,3/6/2000,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254637,S3703437M,Maximilian Sheppard,S3703437M,Maximilian Sheppard,11/19/1974,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254640,S1941387C,Cheyenne Young,S1941387C,Cheyenne Young,11/2/1987,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254643,S7026977N,Nyla Clements,S7026977N,Nyla Clements,7/19/2000,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254646,S6879536T,Tia Trevino,S6879536T,Tia Trevino,4/15/1961,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254652,S8675013C,Carla Cobb,S8675013C,Carla Cobb,9/13/1982,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254655,S9308753R,Rebekah Shepherd,S9308753R,Rebekah Shepherd,9/11/1951,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254668,S2012842T,Tianna Esparza,S2012842T,Tianna Esparza,4/11/1988,DIABETES,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254672,S2759712M,Maddison Mercer,S3321294E,Elisha Stephens,5/12/2008,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254674,S2222115J,Jessie Joseph,S2222115J,Jessie Joseph,1/15/1999,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254677,S5569301T,Tara Mclean,S5956542K,Kyra Wyatt,2/17/1956,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254682,S7578532M,Madden Luna,S1939055D,Desmond Sparks,6/7/1961,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254689,S9690310A,Allie Dickerson,S9690310A,Allie Dickerson,10/4/1988,,1,7/1/2019,6/30/2020,1095.33,381.31,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20254750,S4097710J,Jaylen Hester,S4097710J,Jaylen Hester,7/22/1981,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254768,S0690371A,Adalyn Hunter,S0690371A,Adalyn Hunter,6/25/1991,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254780,S0441752D,Dakota Webster,S0441752D,Dakota Webster,10/6/1998,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254825,S3667073G,Grant Zuniga,S3667073G,Grant Zuniga,5/23/2005,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254844,S0933538R,Ronald Hayden,S0933538R,Ronald Hayden,9/22/1952,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254906,S8931653C,Charlotte Huang,S8773961A,Andrea Floyd,4/30/1989,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20254908,S6956643A,Alina Vang,S6956643A,Alina Vang,7/10/2010,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255007,S2364356L,Laney Randall,S2364356L,Laney Randall,9/6/2006,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255027,S6601966P,Piper Brady,S0850742P,Parker Pratt,11/12/1987,,1,7/1/2019,6/30/2020,2271.03,738.32,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255037,S3465675D,Donna Stein,S3465675D,Donna Stein,4/3/1969,,1,7/1/2019,6/30/2020,2271.03,738.32,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255078,S7162559P,Penelope Bowen,S4269116W,Wayne Crosby,8/19/1996,,1,7/1/2019,6/30/2020,120,87.62,0,0,PAA,7/1/2007,7/1/2007,,7/1/2007,7/1/2007,,Y,130000,130000,8999999488,8999999488,Y,PAAR
20255087,S0139991E,Elvis Wang,S0139991E,Elvis Wang,6/18/1997,,1,7/1/2019,6/30/2020,119.63,110.28,0,0,PAA,7/1/2007,7/1/2007,,7/1/2007,7/1/2007,,Y,130000,130000,8999999488,8999999488,Y,PAAR
20255094,S4091030S,Sergio Jacobs,S4355869H,Haven Austin,6/7/1983,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255108,S0677180G,Genesis Benson,S0677180G,Genesis Benson,10/4/1974,Chronic renal disease,1,5/1/2020,4/30/2021,120,87.62,0,0,PAA,5/1/2007,5/1/2007,,5/1/2007,5/1/2007,,Y,130000,130000,8999999488,8999999488,Y,PAAR
20255115,S5790016K,Kaelyn Moss,S5790016K,Kaelyn Moss,6/20/1973,,1,7/1/2019,6/30/2020,1525.23,551.4,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255116,S1943514E,Eliana Chung,S8559279H,Hannah Barker,1/21/1993,,1,5/1/2020,4/30/2021,119.63,110.28,0,0,PAA,5/1/2007,5/1/2007,,5/1/2007,5/1/2007,,Y,130000,130000,8999999488,8999999488,Y,PAAR
20255123,S4903811M,Mariah Barker,S1046858L,Landin Harvey,12/10/1966,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255127,S5657907M,Mackenzie Bishop,S5657907M,Mackenzie Bishop,6/23/1969,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255128,S9114599B,Bronson Preston,S9114599B,Bronson Preston,7/17/1996,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255132,S0432642S,Saniya Rice,S0432642S,Saniya Rice,5/5/1996,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255133,S8964813C,Chaz Little,S8964813C,Chaz Little,2/11/1978,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255134,S5223377B,Brendan Mcconnell,S3906651C,Coleman Clements,7/9/1951,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255135,S2183339H,Heidi Dixon,S2183339H,Heidi Dixon,2/26/2001,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255138,S9639206A,Amari Roberson,S9639206A,Amari Roberson,4/29/2009,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255140,S3920558L,Luka Shannon,S3920558L,Luka Shannon,3/21/1965,Congenital heart disease,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255142,S4412038M,Miah Paul,S4412038M,Miah Paul,1/9/1976,,1,7/1/2019,6/30/2020,89.72,71.96,0,0,PEB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20255157,S4401913B,Braeden Hubbard,S4401913B,Braeden Hubbard,6/23/1970,,1,7/1/2019,6/30/2020,3098.13,957.01,0,0,PEA,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20255188,S8296106D,Dominic Boone,S8296106D,Dominic Boone,4/20/1974,,1,7/1/2019,6/30/2020,863.55,0,0,0,IFEB,7/1/2008,7/1/2008,,,,,Y,150000,150000,10000000,10000000,N,
20255189,S5288694G,Grayson Franco,S5288694G,Grayson Franco,1/21/2010,,1,7/1/2019,6/30/2020,1526.17,430.84,0,0,PEP,7/1/2007,7/1/2007,,7/1/2007,7/1/2007,,Y,350000,350000,10000000,10000000,Y,PEPR
20255522,S7472280J,John Phillips,S7472280J,John Phillips,6/22/1985,,1,7/1/2019,6/30/2020,379.44,166.36,0,0,PBB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20255524,S4809538C,Carina Gordon,S4809538C,Carina Gordon,2/24/2011,,1,7/1/2019,6/30/2020,379.44,166.36,0,0,PBB,7/1/2008,7/1/2008,,7/1/2008,7/1/2008,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20255965,S1369346K,Kylee Singh,S1369346K,Kylee Singh,6/4/1957,,1,8/1/2019,7/31/2020,664.49,367.29,0,0,PEB,8/1/2007,8/1/2008,,8/1/2007,8/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBR
20256027,S4460715H,Holly Hunt,S4460715H,Holly Hunt,7/17/1995,,1,8/1/2019,7/31/2020,128.97,100.93,0,0,PEA,8/1/2008,8/1/2008,,8/1/2008,8/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20256028,S4115305M,Mikaela Serrano,S4115305M,Mikaela Serrano,7/13/1963,,1,8/1/2019,7/31/2020,128.97,100.93,0,0,PEA,8/1/2008,8/1/2008,,8/1/2008,8/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20256035,S6584834N,Nolan Farmer,S6584834N,Nolan Farmer,12/4/2008,,1,8/1/2019,7/31/2020,128.97,100.93,0,0,PEA,8/1/2008,8/1/2008,,8/1/2008,8/1/2008,,Y,250000,250000,10000000,10000000,Y,PEAD
20256087,S8819410J,Jeremiah Kennedy,S4632693M,Makaila Washington,2/23/2012,,1,9/1/2019,8/31/2020,119.63,80.37,0,0,PAA,9/1/2008,9/1/2008,,9/1/2008,9/1/2008,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20256088,S3864845M,Madalynn Austin,S3864845M,Madalynn Austin,1/3/1956,,1,8/1/2019,7/31/2020,1642.99,534.58,0,0,PAA,8/1/2008,8/1/2008,,8/1/2008,8/1/2008,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20256089,S1664608Z,Zion Gill,S1664608Z,Zion Gill,6/17/1985,,1,9/1/2019,8/31/2020,98.13,71.96,0,0,PEB,9/1/2008,9/1/2008,,9/1/2008,9/1/2008,,Y,150000,150000,10000000,10000000,Y,PEBD
20256093,S9980705J,Jazlynn Farrell,S4593398J,Jasiah Irwin,5/5/1981,,1,9/1/2019,8/31/2020,238.32,140.19,0,0,PAA,9/1/2008,9/1/2008,,9/1/2008,9/1/2008,,Y,130000,130000,8999999488,8999999488,Y,PAAD
20256095,S4700989K,Kaley Boyer,S4700989K,Kaley Boyer,4/24/2000,,1,9/1/2019,8/31/2020,237.38,122.43,0,0,PBB,9/1/2008,9/1/2009,,9/1/2008,9/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20256099,S6493981P,Payten Garner,S6493981P,Payten Garner,8/9/1979,,1,9/1/2019,8/31/2020,1292.52,492.52,0,0,PBB,9/1/2008,9/1/2009,,9/1/2008,9/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20256100,S7475614W,Walker Baker,S6601696V,Vanessa Henson,1/8/2011,,1,9/1/2019,8/31/2020,523.36,214.95,0,0,PBB,9/1/2008,9/1/2009,,9/1/2008,9/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20256101,S1502753N,Nathanael Liu,S1488404N,Nathaly Trujillo,5/23/1974,,1,9/1/2019,8/31/2020,523.36,214.95,0,0,PBB,9/1/2008,9/1/2009,,9/1/2008,9/1/2009,,Y,100000,100000,8999999488,8999999488,Y,PBBD
20256104,S8173715P,Paige Malone,S8173715P,Paige Malone,11/2/1952,,1,9/1/2019,8/31/2020,237.38,122.43,0,0,PBB,9/1/2008,9/1/2008,,9/1/2008,9/1/2008,,Y,100000,100000,8999999488,8999999488,Y,PBBD
